cohort,track,prefix,method,mode,role,stratum,strict_role,diagnostic_step,is_diagnostic,average,inputs,edits,source_images,patients,semantic,semantic_numerator,semantic_denominator,semantic_edit_support,v4_primary,v4_primary_numerator,v4_primary_denominator,v4_primary_edit_support,original_reference_correct,original_reference_correct_numerator,original_reference_correct_denominator,original_reference_correct_edit_support,base_correct,base_correct_numerator,base_correct_denominator,base_correct_edit_support,base_correct_damage,base_correct_damage_numerator,base_correct_damage_denominator,base_correct_damage_edit_support,base_correct_preserved,base_correct_preserved_numerator,base_correct_preserved_denominator,base_correct_preserved_edit_support,base_wrong_became_correct,base_wrong_became_correct_numerator,base_wrong_became_correct_denominator,base_wrong_became_correct_edit_support,base_wrong_changed,base_wrong_changed_numerator,base_wrong_changed_denominator,base_wrong_changed_edit_support,on,on_numerator,on_denominator,on_edit_support,joint_on_correct,joint_on_correct_numerator,joint_on_correct_denominator,joint_on_correct_edit_support,fpr,fpr_numerator,fpr_denominator,fpr_edit_support,misfire_damage,misfire_damage_numerator,misfire_damage_denominator,misfire_damage_edit_support,token_parity,token_parity_numerator,token_parity_denominator,token_parity_edit_support,kl,kl_numerator,kl_denominator,kl_edit_support,own_forced_correct,own_forced_correct_numerator,own_forced_correct_denominator,own_forced_correct_edit_support,rejection,rejection_numerator,rejection_denominator,rejection_edit_support,wrong_writer,wrong_writer_numerator,wrong_writer_denominator,wrong_writer_edit_support,writer_error,writer_error_numerator,writer_error_denominator,writer_error_edit_support,equivalent_correct,equivalent_correct_numerator,equivalent_correct_denominator,equivalent_correct_edit_support,other_expert_correct,other_expert_correct_numerator,other_expert_correct_denominator,other_expert_correct_edit_support,selected_writer_error,selected_writer_error_numerator,selected_writer_error_denominator,selected_writer_error_edit_support,ended_with_eos,ended_with_eos_numerator,ended_with_eos_denominator,ended_with_eos_edit_support,cap_hit,cap_hit_numerator,cap_hit_denominator,cap_hit_edit_support,wrong_given_on_base_correct,wrong_given_on_base_correct_numerator,wrong_given_on_base_correct_denominator,wrong_given_on_base_correct_edit_support,wrong_given_on_strict_base,wrong_given_on_strict_base_numerator,wrong_given_on_strict_base_denominator,wrong_given_on_strict_base_edit_support,positive_wrong_rejection,positive_wrong_rejection_numerator,positive_wrong_rejection_denominator,positive_wrong_rejection_edit_support,positive_wrong_selection,positive_wrong_selection_numerator,positive_wrong_selection_denominator,positive_wrong_selection_edit_support,positive_owner_error,positive_owner_error_numerator,positive_owner_error_denominator,positive_owner_error_edit_support,correct_via_base_return,correct_via_base_return_numerator,correct_via_base_return_denominator,correct_via_base_return_edit_support,correct_via_owner_writer,correct_via_owner_writer_numerator,correct_via_owner_writer_denominator,correct_via_owner_writer_edit_support,correct_via_other_writer,correct_via_other_writer_numerator,correct_via_other_writer_denominator,correct_via_other_writer_edit_support
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,BE,RC,evaluation,derived_imperative_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.1875,12.0,64,32,,,0,0,,,0,0,1.0,52.0,52,28,1.0,52.0,52,28,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,BE,RC,evaluation,derived_source_style,EDIT_TARGET,320,False,macro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,BE,RC,evaluation,derived_source_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,BE,RC,native,native_source_edit,EDIT_TARGET,320,False,macro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,BE,RC,native,native_source_edit,EDIT_TARGET,320,False,micro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,U,STRICT_BASE,320,False,macro,220,32,7,UNKNOWN,0.578125,127.0,220,32,,,0,0,0.578125,127.0,220,32,0.14583333333333331,32.0,220,32,0.0,0.0,32,32,1.0,32.0,32,32,0.50625,95.0,188,32,0.6770833333333333,127.0,188,32,1.0,220.0,220,32,0.578125,127.0,220,32,1.0,220.0,220,32,0.0,0.0,32,32,0.27604166666666663,61.0,220,32,,,0,0,0.3132440476190476,69.0,220,32,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,220.0,220,32,,,0,0,0.0,0.0,32,32,0.421875,93.0,220,32,,,0,0,,,0,0,,,0,0,0.0,0.0,220,32,0.01413690476190476,3.0,220,32,0.5639880952380952,124.0,220,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,U,STRICT_BASE,320,False,micro,220,32,7,UNKNOWN,0.5772727272727273,127.0,220,32,,,0,0,0.5772727272727273,127.0,220,32,0.14545454545454545,32.0,220,32,0.0,0.0,32,32,1.0,32.0,32,32,0.5053191489361702,95.0,188,32,0.675531914893617,127.0,188,32,1.0,220.0,220,32,0.5772727272727273,127.0,220,32,1.0,220.0,220,32,0.0,0.0,32,32,0.2772727272727273,61.0,220,32,,,0,0,0.31363636363636366,69.0,220,32,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,220.0,220,32,,,0,0,0.0,0.0,32,32,0.42272727272727273,93.0,220,32,,,0,0,,,0,0,,,0,0,0.0,0.0,220,32,0.013636363636363636,3.0,220,32,0.5636363636363636,124.0,220,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,derived_imperative_style,EDIT_TARGET,320,False,macro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.1875,12.0,64,32,,,0,0,,,0,0,1.0,52.0,52,28,1.0,52.0,52,28,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,derived_imperative_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.1875,12.0,64,32,,,0,0,,,0,0,1.0,52.0,52,28,1.0,52.0,52,28,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,derived_source_style,EDIT_TARGET,320,False,macro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,evaluation,derived_source_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,native,native_source_edit,EDIT_TARGET,320,False,macro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,R0,native,native_source_edit,EDIT_TARGET,320,False,micro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,U,STRICT_BASE,320,False,macro,220,32,7,UNKNOWN,0.578125,127.0,220,32,,,0,0,0.578125,127.0,220,32,0.14583333333333331,32.0,220,32,0.0,0.0,32,32,1.0,32.0,32,32,0.50625,95.0,188,32,0.6770833333333333,127.0,188,32,1.0,220.0,220,32,0.578125,127.0,220,32,1.0,220.0,220,32,0.0,0.0,32,32,0.27604166666666663,61.0,220,32,,,0,0,0.3132440476190476,69.0,220,32,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,220.0,220,32,,,0,0,0.0,0.0,32,32,0.421875,93.0,220,32,,,0,0,,,0,0,,,0,0,0.0,0.0,220,32,0.01413690476190476,3.0,220,32,0.5639880952380952,124.0,220,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,U,STRICT_BASE,320,False,micro,220,32,7,UNKNOWN,0.5772727272727273,127.0,220,32,,,0,0,0.5772727272727273,127.0,220,32,0.14545454545454545,32.0,220,32,0.0,0.0,32,32,1.0,32.0,32,32,0.5053191489361702,95.0,188,32,0.675531914893617,127.0,188,32,1.0,220.0,220,32,0.5772727272727273,127.0,220,32,1.0,220.0,220,32,0.0,0.0,32,32,0.2772727272727273,61.0,220,32,,,0,0,0.31363636363636366,69.0,220,32,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,1.0,220.0,220,32,,,0,0,0.0,0.0,32,32,0.42272727272727273,93.0,220,32,,,0,0,,,0,0,,,0,0,0.0,0.0,220,32,0.013636363636363636,3.0,220,32,0.5636363636363636,124.0,220,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,derived_imperative_style,EDIT_TARGET,320,False,macro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.1875,12.0,64,32,,,0,0,,,0,0,1.0,52.0,52,28,1.0,52.0,52,28,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,derived_imperative_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.1875,12.0,64,32,,,0,0,,,0,0,1.0,52.0,52,28,1.0,52.0,52,28,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,derived_source_style,EDIT_TARGET,320,False,macro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,evaluation,derived_source_style,EDIT_TARGET,320,False,micro,64,32,32,UNKNOWN,1.0,64.0,64,32,,,0,0,1.0,64.0,64,32,0.203125,13.0,64,32,,,0,0,,,0,0,1.0,51.0,51,30,1.0,51.0,51,30,1.0,64.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,0.0,0.0,64,32,,,0,0,1.0,64.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,,,0,0,,,0,0,,,0,0,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,0.0,0.0,64,32,1.0,64.0,64,32,0.0,0.0,64,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,native,native_source_edit,EDIT_TARGET,320,False,macro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
STAGE5_SOURCE_CONSISTENCY_REVIEWED_NEW32,B,32,W0,RC,native,native_source_edit,EDIT_TARGET,320,False,micro,32,32,32,UNKNOWN,1.0,32.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,,,0,0,,,0,0,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,0.0,0.0,32,32,,,0,0,1.0,32.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,,,0,0,,,0,0,,,0,0,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,0.0,0.0,32,32,1.0,32.0,32,32,0.0,0.0,32,32
